ID_LOM;STATUT;TYPE;INTITULE;ADRESSE;QUARTIER;SITUATION;USAGER;ACCESSIBILITE;OUVERTURE;LIEN_PHOTO;REMARQUES;OBJECTID;E;N
1;Actif;Bâtiment;WC public - Parc HENTSCH;Parc HENTSCH;Saint-Jean Charmilles;;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1.html;;21;2498104.22;1118296.19
8293;Actif;Edicule enterré;WC public - Soleil-Levant;Cour Saint-Pierre;Eaux-Vives Cité;Proche de l'entrée de la cathédrale Saint-Pierre, côté rue du Soleil-Levant;Hommes - Femmes - Handicapés;En sous-sol - WC PMR avec siège électrique et clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8293.html;;22;2500363.71;1117441.3
8223;Actif;Bâtiment;WC public - Halles de l'Ile;Promenade des Lavandières;Grottes Saint-Gervais;Sur la promenade des Lavandières, dans le passage couvert des halles;Handicapés;De plain-pied - WC PMR uniquement, avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8223.html;;23;2499840.52;1117864.25
2014;Actif;Conteneur;WC public - Sentier des Saules - Pointe de la Jonction;Sentier des Saules;Plainpalais Jonction;Pointe de la Jonction, au bord du Sentier des Saules;Hommes - Femmes;Marche;de mai à octobre;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2014_A.html;;24;2498458.16;1117526.38
8402;Actif;Edicule;WC public - Cimetière de Saint-Georges - Entrée;Avenue du Cimetière 1;Acacias Bâtie;Dans le cimetière, à gauche après l'entrée principale;Hommes - Femmes - Handicapés;De plain-pied;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8402_A.html;;25;2497847.41;1117052.57
8400;Actif;Bâtiment;WC public - Cimetière de Châtelaine;Chemin François-FURET 71;Saint-Jean Charmilles;Derrière le bâtiment principal;Hommes - Femmes - Handicapés;;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8400.html;;26;2498165.14;1118206.57
8401;Actif;Bâtiment;WC public - Cimetière du Petit-Saconnex;Chemin Moïse-DUBOULE 16;Servette Petit-Saconnex;Accolé au bâtiment principal;Hommes - Femmes;;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8401.html;;27;2498704.12;1120166.4
3003;Actif;Pavillon;WC public - Quai du Mont-Blanc - Face rue de la Cloche;Quai du Mont-Blanc;Pâquis Sécheron;;Hommes - Femmes - Handicapés;De plain-pied - WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_3003.html;;28;2500687.48;1118478.3
8265;Actif;Edicule enterré;WC public - Place des Eaux-Vives;Place des Eaux-Vives 2BIS;Eaux-Vives Cité;En face du cinéma Le City;Hommes - Femmes;En sous-sol;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8265.html;;29;2501028.43;1117596.19
9002;Actif;Edicule;WC public - Plage des Eaux-Vives - Cailloux géant;Quai Gustave-ADOR;Eaux-Vives Cité;Cailloux géant sur la pelouse de la plage;Hommes - Femmes;De plain-pied;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_9002.html;;30;2501774.83;1118370.28
9003;Actif;Edicule;WC public - Plage des Eaux-Vives - Cailloux géant;Quai Gustave-ADOR 81;Eaux-Vives Cité;Cailloux géant sur la pelouse de la plage;Hommes - Femmes;De plain-pied;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_9003.html;;31;2501881.75;1118520.89
9004;Actif;Edicule;WC public - Plage des Eaux-Vives;Quai Gustav-ADOR 81;Eaux-Vives Cité;Près de l'écopoint;Handicapés;De plain-pied - WC PMR uniquement, avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_9004.html;;32;2501890.81;1118565.04
9005;Actif;Edicule;WC public - Plage des Eaux-Vives - Près du restaurant;Quai Gustave-ADOR 75;Eaux-Vives Cité;Près du restaurant;Hommes - Femmes - Handicapés;De plain-pied, WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_9005.html;;33;2501875.88;1118650.26
8000;Actif;Bâtiment;WC public - Jardin de la Paix;Rue de Moillebeau 1;Servette Petit-Saconnex;Annexe à l'entrée du Jardin de la Paix;Hommes - Femmes - Handicapés;De plain-pied;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_8000.html;;34;2498785.8;1119486.41
2015;Actif;Conteneur;WC public - Sentier des Saules - Rue Emile-NICOLET;Sentier des Saules;Plainpalais Jonction;En face de la Rue Emile-NICOLET, au bord du Sentier des Saules;Hommes - Femmes;Marche;de mai à octobre;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2015_A.html;;35;2498851.48;1117644.59
2003;Actif;Conteneur;WC public - Jardin Anglais - Débarcadère;Promenade du Lac;Eaux-Vives Cité;A proximité du débarcadère;Hommes - Femmes;Marches;de mars à octobre;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_2003.html;;36;2500611.12;1117847.06
1001;Actif;Autonettoyant;WC public - Jardin Anglais - Monument National;Quai Général-GUISAN;Eaux-Vives Cité;Vers le Monument National;Hommes - Femmes - Handicapés;WC PMR avec clé Eurokey;Annuelle;https://sitv.geneve.ch/data/public/lom/Image/WC/WC_1001.html;;37;2500544.84;1117865.1
